Müügiloa number;Müügiloa staatus;H/V;Pakendikood;Ravimi nimetus;Ravimi tugevus;Ravimvorm;ATC kood;Toimeaine;Pakendi suurus;Müügiloa hoidja organisatsioon;Müügiloa hoidja organisatsiooni ORG ID;Müügiloa kehtivuse alguse kuupäev;Müügiloa kehtivuse lõpu kuupäev;Ravimikaardi number;Ravimikaardi staatus;Ravimi liik;Täiendav järelevalve;Erandid pakendi nõuetest;Toodetud ravimvorm;Manustatav ravimvorm;Ravimis sisalduv toimeaine;Ravimis sisalduva toimeaine tugevus;Referentstoimeaine;Referentstoimeaine tugevus;Manustamisviisid;Seade pakendis;Kõlblikkusaeg;Säilitustingimused;PD pakend;Sisepakendi liik;Sisepakendi materjal;Pakendi komponendi liik;Pakendi komponendi materjal;Müügiloa liik;Müügiloa hoidja organisatsiooni asukoht;Müügiloa hoidja organisatsiooni asukoha LOC ID;ML juhtumi taotluse liik;Juhtumi staatus;Müügiloa taotluse protseduuri number;Esitamise kuupäev;Otsuse kuupäev;Juhtumi lõpu kuupäev
990419;Valid;H;1760903;DIPPERAM HCT;10mg, 12.5mg, 160mg;Õhukese polümeerikattega tablett;C09DX01;valsartaan, amlodipiin, hüdroklorotiasiid;30 Tablett;Sandoz Pharmaceuticals d.d.;ORG-100002040;02.07.2019;02.07.2024;13346;Lõpetatud;Chemical Medicinal Product;Ei;Ei;;Õhukese polümeerikattega tablett;valsartaan, hüdroklorotiasiid, amlodipiin;;amlodipiin, hüdroklorotiasiid, valsartaan;10mg, 12.5mg, 160mg;Suukaudne;;24.0 kuu;Hoida temperatuuril kuni 30°C, Hoida originaalpakendis, hoida niiskuse eest kaitstult;Ei;blister;PolyVinyl Chloride, PolyVinylidene Chloride, Aluminium;;;Marketing Authorisation;"Verovskova Ulica 57 
Ljubljana
1000, Slovenia";LOC-100002893;;ENDED_ACCEPTED;;23.09.2022;10.10.2022;10.10.2022
990419;Valid;H;1760969;DIPPERAM HCT;10mg, 12.5mg, 160mg;Õhukese polümeerikattega tablett;C09DX01;valsartaan, amlodipiin, hüdroklorotiasiid;280 Tablett;Sandoz Pharmaceuticals d.d.;ORG-100002040;02.07.2019;02.07.2024;13346;Lõpetatud;Chemical Medicinal Product;Ei;Ei;;Õhukese polümeerikattega tablett;valsartaan, hüdroklorotiasiid, amlodipiin;;amlodipiin, hüdroklorotiasiid, valsartaan;10mg, 12.5mg, 160mg;Suukaudne;;24.0 kuu;Hoida temperatuuril kuni 30°C, Hoida originaalpakendis, hoida niiskuse eest kaitstult;Ei;blister;Aluminium, PolyVinylidene Chloride, PolyVinyl Chloride;;;Marketing Authorisation;"Verovskova Ulica 57 
Ljubljana
1000, Slovenia";LOC-100002893;;ENDED_ACCEPTED;;23.09.2022;10.10.2022;10.10.2022
990319;Valid;H;1760992;DIPPERAM HCT;25mg, 160mg, 5mg;Õhukese polümeerikattega tablett;C09DX01;valsartaan, amlodipiin, hüdroklorotiasiid;30 Tablett;Sandoz Pharmaceuticals d.d.;ORG-100002040;02.07.2019;02.07.2024;13342;Lõpetatud;Chemical Medicinal Product;Ei;Ei;;Õhukese polümeerikattega tablett;amlodipiin, valsartaan, hüdroklorotiasiid;;hüdroklorotiasiid, valsartaan, amlodipiin;25mg, 160mg, 5mg;Suukaudne;;24.0 kuu;Hoida temperatuuril kuni 30°C, Hoida originaalpakendis, hoida niiskuse eest kaitstult;Ei;blister;PolyVinyl Chloride, Aluminium, PolyVinylidene Chloride;;;Marketing Authorisation;"Verovskova Ulica 57 
Ljubljana
1000, Slovenia";LOC-100002893;;ENDED_ACCEPTED;;23.09.2022;10.10.2022;10.10.2022
990319;Valid;H;1761005;DIPPERAM HCT;25mg, 160mg, 5mg;Õhukese polümeerikattega tablett;C09DX01;valsartaan, amlodipiin, hüdroklorotiasiid;56 Tablett;Sandoz Pharmaceuticals d.d.;ORG-100002040;02.07.2019;02.07.2024;13342;Lõpetatud;Chemical Medicinal Product;Ei;Ei;;Õhukese polümeerikattega tablett;amlodipiin, valsartaan, hüdroklorotiasiid;;hüdroklorotiasiid, valsartaan, amlodipiin;25mg, 160mg, 5mg;Suukaudne;;24.0 kuu;Hoida temperatuuril kuni 30°C, Hoida originaalpakendis, hoida niiskuse eest kaitstult;Ei;blister;PolyVinylidene Chloride, Aluminium, PolyVinyl Chloride;;;Marketing Authorisation;"Verovskova Ulica 57 
Ljubljana
1000, Slovenia";LOC-100002893;;ENDED_ACCEPTED;;23.09.2022;10.10.2022;10.10.2022
990319;Valid;H;1761016;DIPPERAM HCT;25mg, 160mg, 5mg;Õhukese polümeerikattega tablett;C09DX01;valsartaan, amlodipiin, hüdroklorotiasiid;60 Tablett;Sandoz Pharmaceuticals d.d.;ORG-100002040;02.07.2019;02.07.2024;13342;Lõpetatud;Chemical Medicinal Product;Ei;Ei;;Õhukese polümeerikattega tablett;amlodipiin, valsartaan, hüdroklorotiasiid;;hüdroklorotiasiid, valsartaan, amlodipiin;25mg, 160mg, 5mg;Suukaudne;;24.0 kuu;Hoida temperatuuril kuni 30°C, Hoida originaalpakendis, hoida niiskuse eest kaitstult;Ei;blister;Aluminium, PolyVinylidene Chloride, PolyVinyl Chloride;;;Marketing Authorisation;"Verovskova Ulica 57 
Ljubljana
1000, Slovenia";LOC-100002893;;ENDED_ACCEPTED;;23.09.2022;10.10.2022;10.10.2022
990319;Valid;H;1761027;DIPPERAM HCT;25mg, 160mg, 5mg;Õhukese polümeerikattega tablett;C09DX01;valsartaan, amlodipiin, hüdroklorotiasiid;90 Tablett;Sandoz Pharmaceuticals d.d.;ORG-100002040;02.07.2019;02.07.2024;13342;Lõpetatud;Chemical Medicinal Product;Ei;Ei;;Õhukese polümeerikattega tablett;amlodipiin, valsartaan, hüdroklorotiasiid;;hüdroklorotiasiid, valsartaan, amlodipiin;25mg, 160mg, 5mg;Suukaudne;;24.0 kuu;Hoida temperatuuril kuni 30°C, Hoida originaalpakendis, hoida niiskuse eest kaitstult;Ei;blister;PolyVinyl Chloride, Aluminium, PolyVinylidene Chloride;;;Marketing Authorisation;"Verovskova Ulica 57 
Ljubljana
1000, Slovenia";LOC-100002893;;ENDED_ACCEPTED;;23.09.2022;10.10.2022;10.10.2022
990319;Valid;H;1761038;DIPPERAM HCT;25mg, 160mg, 5mg;Õhukese polümeerikattega tablett;C09DX01;valsartaan, amlodipiin, hüdroklorotiasiid;98 Tablett;Sandoz Pharmaceuticals d.d.;ORG-100002040;02.07.2019;02.07.2024;13342;Lõpetatud;Chemical Medicinal Product;Ei;Ei;;Õhukese polümeerikattega tablett;amlodipiin, valsartaan, hüdroklorotiasiid;;hüdroklorotiasiid, valsartaan, amlodipiin;25mg, 160mg, 5mg;Suukaudne;;24.0 kuu;Hoida temperatuuril kuni 30°C, Hoida originaalpakendis, hoida niiskuse eest kaitstult;Ei;blister;Aluminium, PolyVinylidene Chloride, PolyVinyl Chloride;;;Marketing Authorisation;"Verovskova Ulica 57 
Ljubljana
1000, Slovenia";LOC-100002893;;ENDED_ACCEPTED;;23.09.2022;10.10.2022;10.10.2022
990319;Valid;H;1761049;DIPPERAM HCT;25mg, 160mg, 5mg;Õhukese polümeerikattega tablett;C09DX01;valsartaan, amlodipiin, hüdroklorotiasiid;100 Tablett;Sandoz Pharmaceuticals d.d.;ORG-100002040;02.07.2019;02.07.2024;13342;Lõpetatud;Chemical Medicinal Product;Ei;Ei;;Õhukese polümeerikattega tablett;amlodipiin, valsartaan, hüdroklorotiasiid;;hüdroklorotiasiid, valsartaan, amlodipiin;25mg, 160mg, 5mg;Suukaudne;;24.0 kuu;Hoida temperatuuril kuni 30°C, Hoida originaalpakendis, hoida niiskuse eest kaitstult;Ei;blister;PolyVinylidene Chloride, PolyVinyl Chloride, Aluminium;;;Marketing Authorisation;"Verovskova Ulica 57 
Ljubljana
1000, Slovenia";LOC-100002893;;ENDED_ACCEPTED;;23.09.2022;10.10.2022;10.10.2022
990319;Valid;H;1761050;DIPPERAM HCT;25mg, 160mg, 5mg;Õhukese polümeerikattega tablett;C09DX01;valsartaan, amlodipiin, hüdroklorotiasiid;280 Tablett;Sandoz Pharmaceuticals d.d.;ORG-100002040;02.07.2019;02.07.2024;13342;Lõpetatud;Chemical Medicinal Product;Ei;Ei;;Õhukese polümeerikattega tablett;amlodipiin, valsartaan, hüdroklorotiasiid;;hüdroklorotiasiid, valsartaan, amlodipiin;25mg, 160mg, 5mg;Suukaudne;;24.0 kuu;Hoida temperatuuril kuni 30°C, Hoida originaalpakendis, hoida niiskuse eest kaitstult;Ei;blister;PolyVinyl Chloride, Aluminium, PolyVinylidene Chloride;;;Marketing Authorisation;"Verovskova Ulica 57 
Ljubljana
1000, Slovenia";LOC-100002893;;ENDED_ACCEPTED;;23.09.2022;10.10.2022;10.10.2022
990319;Valid;H;1760970;DIPPERAM HCT;25mg, 160mg, 5mg;Õhukese polümeerikattega tablett;C09DX01;valsartaan, amlodipiin, hüdroklorotiasiid;14 Tablett;Sandoz Pharmaceuticals d.d.;ORG-100002040;02.07.2019;02.07.2024;13342;Lõpetatud;Chemical Medicinal Product;Ei;Ei;;Õhukese polümeerikattega tablett;amlodipiin, valsartaan, hüdroklorotiasiid;;hüdroklorotiasiid, valsartaan, amlodipiin;25mg, 160mg, 5mg;Suukaudne;;24.0 kuu;Hoida temperatuuril kuni 30°C, Hoida originaalpakendis, hoida niiskuse eest kaitstult;Ei;blister;PolyVinylidene Chloride, Aluminium, PolyVinyl Chloride;;;Marketing Authorisation;"Verovskova Ulica 57 
Ljubljana
1000, Slovenia";LOC-100002893;;ENDED_ACCEPTED;;23.09.2022;10.10.2022;10.10.2022
990319;Valid;H;1760981;DIPPERAM HCT;25mg, 160mg, 5mg;Õhukese polümeerikattega tablett;C09DX01;valsartaan, amlodipiin, hüdroklorotiasiid;28 Tablett;Sandoz Pharmaceuticals d.d.;ORG-100002040;02.07.2019;02.07.2024;13342;Lõpetatud;Chemical Medicinal Product;Ei;Ei;;Õhukese polümeerikattega tablett;amlodipiin, valsartaan, hüdroklorotiasiid;;hüdroklorotiasiid, valsartaan, amlodipiin;25mg, 160mg, 5mg;Suukaudne;;24.0 kuu;Hoida temperatuuril kuni 30°C, Hoida originaalpakendis, hoida niiskuse eest kaitstult;Ei;blister;PolyVinylidene Chloride, Aluminium, PolyVinyl Chloride;;;Marketing Authorisation;"Verovskova Ulica 57 
Ljubljana
1000, Slovenia";LOC-100002893;;ENDED_ACCEPTED;;23.09.2022;10.10.2022;10.10.2022
990219;Valid;H;1760790;DIPPERAM HCT;5mg, 160mg, 12.5mg;Õhukese polümeerikattega tablett;C09DX01;hüdroklorotiasiid, valsartaan, amlodipiin;14 Tablett;Sandoz Pharmaceuticals d.d.;ORG-100002040;02.07.2019;02.07.2024;13344;Lõpetatud;Chemical Medicinal Product;Ei;Ei;;Õhukese polümeerikattega tablett;valsartaan, amlodipiin, hüdroklorotiasiid;;amlodipiin, valsartaan, hüdroklorotiasiid;5mg, 160mg, 12.5mg;Suukaudne;;24.0 kuu;Hoida temperatuuril kuni 30°C, Hoida originaalpakendis, hoida niiskuse eest kaitstult;Ei;blister;Aluminium, PolyVinylidene Chloride, PolyVinyl Chloride;;;Marketing Authorisation;"Verovskova Ulica 57 
Ljubljana
1000, Slovenia";LOC-100002893;;ENDED_ACCEPTED;;23.09.2022;10.10.2022;10.10.2022
990219;Valid;H;1760802;DIPPERAM HCT;5mg, 160mg, 12.5mg;Õhukese polümeerikattega tablett;C09DX01;hüdroklorotiasiid, valsartaan, amlodipiin;28 Tablett;Sandoz Pharmaceuticals d.d.;ORG-100002040;02.07.2019;02.07.2024;13344;Lõpetatud;Chemical Medicinal Product;Ei;Ei;;Õhukese polümeerikattega tablett;valsartaan, amlodipiin, hüdroklorotiasiid;;amlodipiin, valsartaan, hüdroklorotiasiid;5mg, 160mg, 12.5mg;Suukaudne;;24.0 kuu;Hoida temperatuuril kuni 30°C, Hoida originaalpakendis, hoida niiskuse eest kaitstult;Ei;blister;PolyVinylidene Chloride, Aluminium, PolyVinyl Chloride;;;Marketing Authorisation;"Verovskova Ulica 57 
Ljubljana
1000, Slovenia";LOC-100002893;;ENDED_ACCEPTED;;23.09.2022;10.10.2022;10.10.2022
990219;Valid;H;1760813;DIPPERAM HCT;5mg, 160mg, 12.5mg;Õhukese polümeerikattega tablett;C09DX01;hüdroklorotiasiid, valsartaan, amlodipiin;30 Tablett;Sandoz Pharmaceuticals d.d.;ORG-100002040;02.07.2019;02.07.2024;13344;Lõpetatud;Chemical Medicinal Product;Ei;Ei;;Õhukese polümeerikattega tablett;valsartaan, amlodipiin, hüdroklorotiasiid;;amlodipiin, valsartaan, hüdroklorotiasiid;5mg, 160mg, 12.5mg;Suukaudne;;24.0 kuu;Hoida temperatuuril kuni 30°C, Hoida originaalpakendis, hoida niiskuse eest kaitstult;Ei;blister;PolyVinylidene Chloride, Aluminium, PolyVinyl Chloride;;;Marketing Authorisation;"Verovskova Ulica 57 
Ljubljana
1000, Slovenia";LOC-100002893;;ENDED_ACCEPTED;;23.09.2022;10.10.2022;10.10.2022
990219;Valid;H;1760846;DIPPERAM HCT;5mg, 160mg, 12.5mg;Õhukese polümeerikattega tablett;C09DX01;hüdroklorotiasiid, valsartaan, amlodipiin;90 Tablett;Sandoz Pharmaceuticals d.d.;ORG-100002040;02.07.2019;02.07.2024;13344;Lõpetatud;Chemical Medicinal Product;Ei;Ei;;Õhukese polümeerikattega tablett;valsartaan, amlodipiin, hüdroklorotiasiid;;amlodipiin, valsartaan, hüdroklorotiasiid;5mg, 160mg, 12.5mg;Suukaudne;;24.0 kuu;Hoida temperatuuril kuni 30°C, Hoida originaalpakendis, hoida niiskuse eest kaitstult;Ei;blister;Aluminium, PolyVinyl Chloride, PolyVinylidene Chloride;;;Marketing Authorisation;"Verovskova Ulica 57 
Ljubljana
1000, Slovenia";LOC-100002893;;ENDED_ACCEPTED;;23.09.2022;10.10.2022;10.10.2022
990219;Valid;H;1760835;DIPPERAM HCT;5mg, 160mg, 12.5mg;Õhukese polümeerikattega tablett;C09DX01;hüdroklorotiasiid, valsartaan, amlodipiin;60 Tablett;Sandoz Pharmaceuticals d.d.;ORG-100002040;02.07.2019;02.07.2024;13344;Lõpetatud;Chemical Medicinal Product;Ei;Ei;;Õhukese polümeerikattega tablett;valsartaan, amlodipiin, hüdroklorotiasiid;;amlodipiin, valsartaan, hüdroklorotiasiid;5mg, 160mg, 12.5mg;Suukaudne;;24.0 kuu;Hoida temperatuuril kuni 30°C, Hoida originaalpakendis, hoida niiskuse eest kaitstult;Ei;blister;Aluminium, PolyVinyl Chloride, PolyVinylidene Chloride;;;Marketing Authorisation;"Verovskova Ulica 57 
Ljubljana
1000, Slovenia";LOC-100002893;;ENDED_ACCEPTED;;23.09.2022;10.10.2022;10.10.2022
990219;Valid;H;1760868;DIPPERAM HCT;5mg, 160mg, 12.5mg;Õhukese polümeerikattega tablett;C09DX01;hüdroklorotiasiid, valsartaan, amlodipiin;100 Tablett;Sandoz Pharmaceuticals d.d.;ORG-100002040;02.07.2019;02.07.2024;13344;Lõpetatud;Chemical Medicinal Product;Ei;Ei;;Õhukese polümeerikattega tablett;valsartaan, amlodipiin, hüdroklorotiasiid;;amlodipiin, valsartaan, hüdroklorotiasiid;5mg, 160mg, 12.5mg;Suukaudne;;24.0 kuu;Hoida temperatuuril kuni 30°C, Hoida originaalpakendis, hoida niiskuse eest kaitstult;Ei;blister;Aluminium, PolyVinyl Chloride, PolyVinylidene Chloride;;;Marketing Authorisation;"Verovskova Ulica 57 
Ljubljana
1000, Slovenia";LOC-100002893;;ENDED_ACCEPTED;;23.09.2022;10.10.2022;10.10.2022
990219;Valid;H;1760879;DIPPERAM HCT;5mg, 160mg, 12.5mg;Õhukese polümeerikattega tablett;C09DX01;hüdroklorotiasiid, valsartaan, amlodipiin;280 Tablett;Sandoz Pharmaceuticals d.d.;ORG-100002040;02.07.2019;02.07.2024;13344;Lõpetatud;Chemical Medicinal Product;Ei;Ei;;Õhukese polümeerikattega tablett;valsartaan, amlodipiin, hüdroklorotiasiid;;amlodipiin, valsartaan, hüdroklorotiasiid;5mg, 160mg, 12.5mg;Suukaudne;;24.0 kuu;Hoida temperatuuril kuni 30°C, Hoida originaalpakendis, hoida niiskuse eest kaitstult;Ei;blister;PolyVinylidene Chloride, Aluminium, PolyVinyl Chloride;;;Marketing Authorisation;"Verovskova Ulica 57 
Ljubljana
1000, Slovenia";LOC-100002893;;ENDED_ACCEPTED;;23.09.2022;10.10.2022;10.10.2022
990219;Valid;H;1760824;DIPPERAM HCT;5mg, 160mg, 12.5mg;Õhukese polümeerikattega tablett;C09DX01;hüdroklorotiasiid, valsartaan, amlodipiin;56 Tablett;Sandoz Pharmaceuticals d.d.;ORG-100002040;02.07.2019;02.07.2024;13344;Lõpetatud;Chemical Medicinal Product;Ei;Ei;;Õhukese polümeerikattega tablett;valsartaan, amlodipiin, hüdroklorotiasiid;;amlodipiin, valsartaan, hüdroklorotiasiid;5mg, 160mg, 12.5mg;Suukaudne;;24.0 kuu;Hoida temperatuuril kuni 30°C, Hoida originaalpakendis, hoida niiskuse eest kaitstult;Ei;blister;Aluminium, PolyVinylidene Chloride, PolyVinyl Chloride;;;Marketing Authorisation;"Verovskova Ulica 57 
Ljubljana
1000, Slovenia";LOC-100002893;;ENDED_ACCEPTED;;23.09.2022;10.10.2022;10.10.2022
990219;Valid;H;1760857;DIPPERAM HCT;5mg, 160mg, 12.5mg;Õhukese polümeerikattega tablett;C09DX01;hüdroklorotiasiid, valsartaan, amlodipiin;98 Tablett;Sandoz Pharmaceuticals d.d.;ORG-100002040;02.07.2019;02.07.2024;13344;Lõpetatud;Chemical Medicinal Product;Ei;Ei;;Õhukese polümeerikattega tablett;valsartaan, amlodipiin, hüdroklorotiasiid;;amlodipiin, valsartaan, hüdroklorotiasiid;5mg, 160mg, 12.5mg;Suukaudne;;24.0 kuu;Hoida temperatuuril kuni 30°C, Hoida originaalpakendis, hoida niiskuse eest kaitstult;Ei;blister;PolyVinylidene Chloride, PolyVinyl Chloride, Aluminium;;;Marketing Authorisation;"Verovskova Ulica 57 
Ljubljana
1000, Slovenia";LOC-100002893;;ENDED_ACCEPTED;;23.09.2022;10.10.2022;10.10.2022
982819;Valid;H;1760666;VALTRICOM;320mg, 10mg, 25mg;Õhukese polümeerikattega tablett;C09DX01;amlodipiin, valsartaan, hüdroklorotiasiid;7 Tablett;KRKA, d.d., Novo mesto;ORG-100000627;05.03.2019;05.03.2024;6570;Lõpetatud;Chemical Medicinal Product;Ei;Ei;;Õhukese polümeerikattega tablett;hüdroklorotiasiid, amlodipiin, valsartaan;;valsartaan, amlodipiin, hüdroklorotiasiid;320mg, 10mg, 25mg;Suukaudne;;36.0 kuu;See ravimpreparaat ei vaja säilitamisel eritingimusi;Ei;blister;Aluminium, PolyVinyl Chloride, Orientated PolyAmide;;;Marketing Authorisation;"Smarjeska Cesta 6
Novo Mesto
Jugovzhodna Slovenija
8501, Slovenia";LOC-100009540;;MIGRATION_SUCCESSFUL;;;;10.07.2022
982819;Valid;H;1760677;VALTRICOM;320mg, 10mg, 25mg;Õhukese polümeerikattega tablett;C09DX01;amlodipiin, valsartaan, hüdroklorotiasiid;10 Tablett;KRKA, d.d., Novo mesto;ORG-100000627;05.03.2019;05.03.2024;6570;Lõpetatud;Chemical Medicinal Product;Ei;Ei;;Õhukese polümeerikattega tablett;hüdroklorotiasiid, amlodipiin, valsartaan;;valsartaan, amlodipiin, hüdroklorotiasiid;320mg, 10mg, 25mg;Suukaudne;;36.0 kuu;See ravimpreparaat ei vaja säilitamisel eritingimusi;Ei;blister;PolyVinyl Chloride, Aluminium, Orientated PolyAmide;;;Marketing Authorisation;"Smarjeska Cesta 6
Novo Mesto
Jugovzhodna Slovenija
8501, Slovenia";LOC-100009540;;MIGRATION_SUCCESSFUL;;;;10.07.2022
982819;Valid;H;1760688;VALTRICOM;320mg, 10mg, 25mg;Õhukese polümeerikattega tablett;C09DX01;amlodipiin, valsartaan, hüdroklorotiasiid;14 Tablett;KRKA, d.d., Novo mesto;ORG-100000627;05.03.2019;05.03.2024;6570;Lõpetatud;Chemical Medicinal Product;Ei;Ei;;Õhukese polümeerikattega tablett;hüdroklorotiasiid, amlodipiin, valsartaan;;valsartaan, amlodipiin, hüdroklorotiasiid;320mg, 10mg, 25mg;Suukaudne;;36.0 kuu;See ravimpreparaat ei vaja säilitamisel eritingimusi;Ei;blister;Orientated PolyAmide, Aluminium, PolyVinyl Chloride;;;Marketing Authorisation;"Smarjeska Cesta 6
Novo Mesto
Jugovzhodna Slovenija
8501, Slovenia";LOC-100009540;;MIGRATION_SUCCESSFUL;;;;10.07.2022
982819;Valid;H;1760756;VALTRICOM;320mg, 10mg, 25mg;Õhukese polümeerikattega tablett;C09DX01;amlodipiin, valsartaan, hüdroklorotiasiid;98 Tablett;KRKA, d.d., Novo mesto;ORG-100000627;05.03.2019;05.03.2024;6570;Lõpetatud;Chemical Medicinal Product;Ei;Ei;;Õhukese polümeerikattega tablett;hüdroklorotiasiid, amlodipiin, valsartaan;;valsartaan, amlodipiin, hüdroklorotiasiid;320mg, 10mg, 25mg;Suukaudne;;36.0 kuu;See ravimpreparaat ei vaja säilitamisel eritingimusi;Ei;blister;PolyVinyl Chloride, Aluminium, Orientated PolyAmide;;;Marketing Authorisation;"Smarjeska Cesta 6
Novo Mesto
Jugovzhodna Slovenija
8501, Slovenia";LOC-100009540;;MIGRATION_SUCCESSFUL;;;;10.07.2022
982819;Valid;H;1760767;VALTRICOM;320mg, 10mg, 25mg;Õhukese polümeerikattega tablett;C09DX01;amlodipiin, valsartaan, hüdroklorotiasiid;100 Tablett;KRKA, d.d., Novo mesto;ORG-100000627;05.03.2019;05.03.2024;6570;Lõpetatud;Chemical Medicinal Product;Ei;Ei;;Õhukese polümeerikattega tablett;hüdroklorotiasiid, amlodipiin, valsartaan;;valsartaan, amlodipiin, hüdroklorotiasiid;320mg, 10mg, 25mg;Suukaudne;;36.0 kuu;See ravimpreparaat ei vaja säilitamisel eritingimusi;Ei;blister;Orientated PolyAmide, Aluminium, PolyVinyl Chloride;;;Marketing Authorisation;"Smarjeska Cesta 6
Novo Mesto
Jugovzhodna Slovenija
8501, Slovenia";LOC-100009540;;MIGRATION_SUCCESSFUL;;;;10.07.2022
982819;Valid;H;1760745;VALTRICOM;320mg, 10mg, 25mg;Õhukese polümeerikattega tablett;C09DX01;amlodipiin, valsartaan, hüdroklorotiasiid;90 Tablett;KRKA, d.d., Novo mesto;ORG-100000627;05.03.2019;05.03.2024;6570;Lõpetatud;Chemical Medicinal Product;Ei;Ei;;Õhukese polümeerikattega tablett;hüdroklorotiasiid, amlodipiin, valsartaan;;valsartaan, amlodipiin, hüdroklorotiasiid;320mg, 10mg, 25mg;Suukaudne;;36.0 kuu;See ravimpreparaat ei vaja säilitamisel eritingimusi;Ei;blister;Aluminium, PolyVinyl Chloride, Orientated PolyAmide;;;Marketing Authorisation;"Smarjeska Cesta 6
Novo Mesto
Jugovzhodna Slovenija
8501, Slovenia";LOC-100009540;;MIGRATION_SUCCESSFUL;;;;10.07.2022
982819;Valid;H;1760699;VALTRICOM;320mg, 10mg, 25mg;Õhukese polümeerikattega tablett;C09DX01;amlodipiin, valsartaan, hüdroklorotiasiid;28 Tablett;KRKA, d.d., Novo mesto;ORG-100000627;05.03.2019;05.03.2024;6570;Lõpetatud;Chemical Medicinal Product;Ei;Ei;;Õhukese polümeerikattega tablett;hüdroklorotiasiid, amlodipiin, valsartaan;;valsartaan, amlodipiin, hüdroklorotiasiid;320mg, 10mg, 25mg;Suukaudne;;36.0 kuu;See ravimpreparaat ei vaja säilitamisel eritingimusi;Ei;blister;Orientated PolyAmide, PolyVinyl Chloride, Aluminium;;;Marketing Authorisation;"Smarjeska Cesta 6
Novo Mesto
Jugovzhodna Slovenija
8501, Slovenia";LOC-100009540;;MIGRATION_SUCCESSFUL;;;;10.07.2022
982819;Valid;H;1760701;VALTRICOM;320mg, 10mg, 25mg;Õhukese polümeerikattega tablett;C09DX01;amlodipiin, valsartaan, hüdroklorotiasiid;30 Tablett;KRKA, d.d., Novo mesto;ORG-100000627;05.03.2019;05.03.2024;6570;Lõpetatud;Chemical Medicinal Product;Ei;Ei;;Õhukese polümeerikattega tablett;hüdroklorotiasiid, amlodipiin, valsartaan;;valsartaan, amlodipiin, hüdroklorotiasiid;320mg, 10mg, 25mg;Suukaudne;;36.0 kuu;See ravimpreparaat ei vaja säilitamisel eritingimusi;Ei;blister;Aluminium, PolyVinyl Chloride, Orientated PolyAmide;;;Marketing Authorisation;"Smarjeska Cesta 6
Novo Mesto
Jugovzhodna Slovenija
8501, Slovenia";LOC-100009540;;MIGRATION_SUCCESSFUL;;;;10.07.2022
982819;Valid;H;1760712;VALTRICOM;320mg, 10mg, 25mg;Õhukese polümeerikattega tablett;C09DX01;amlodipiin, valsartaan, hüdroklorotiasiid;56 Tablett;KRKA, d.d., Novo mesto;ORG-100000627;05.03.2019;05.03.2024;6570;Lõpetatud;Chemical Medicinal Product;Ei;Ei;;Õhukese polümeerikattega tablett;hüdroklorotiasiid, amlodipiin, valsartaan;;valsartaan, amlodipiin, hüdroklorotiasiid;320mg, 10mg, 25mg;Suukaudne;;36.0 kuu;See ravimpreparaat ei vaja säilitamisel eritingimusi;Ei;blister;PolyVinyl Chloride, Orientated PolyAmide, Aluminium;;;Marketing Authorisation;"Smarjeska Cesta 6
Novo Mesto
Jugovzhodna Slovenija
8501, Slovenia";LOC-100009540;;MIGRATION_SUCCESSFUL;;;;10.07.2022
982819;Valid;H;1760723;VALTRICOM;320mg, 10mg, 25mg;Õhukese polümeerikattega tablett;C09DX01;amlodipiin, valsartaan, hüdroklorotiasiid;60 Tablett;KRKA, d.d., Novo mesto;ORG-100000627;05.03.2019;05.03.2024;6570;Lõpetatud;Chemical Medicinal Product;Ei;Ei;;Õhukese polümeerikattega tablett;hüdroklorotiasiid, amlodipiin, valsartaan;;valsartaan, amlodipiin, hüdroklorotiasiid;320mg, 10mg, 25mg;Suukaudne;;36.0 kuu;See ravimpreparaat ei vaja säilitamisel eritingimusi;Ei;blister;Aluminium, Orientated PolyAmide, PolyVinyl Chloride;;;Marketing Authorisation;"Smarjeska Cesta 6
Novo Mesto
Jugovzhodna Slovenija
8501, Slovenia";LOC-100009540;;MIGRATION_SUCCESSFUL;;;;10.07.2022
982819;Valid;H;1760734;VALTRICOM;320mg, 10mg, 25mg;Õhukese polümeerikattega tablett;C09DX01;amlodipiin, valsartaan, hüdroklorotiasiid;84 Tablett;KRKA, d.d., Novo mesto;ORG-100000627;05.03.2019;05.03.2024;6570;Lõpetatud;Chemical Medicinal Product;Ei;Ei;;Õhukese polümeerikattega tablett;hüdroklorotiasiid, amlodipiin, valsartaan;;valsartaan, amlodipiin, hüdroklorotiasiid;320mg, 10mg, 25mg;Suukaudne;;36.0 kuu;See ravimpreparaat ei vaja säilitamisel eritingimusi;Ei;blister;PolyVinyl Chloride, Orientated PolyAmide, Aluminium;;;Marketing Authorisation;"Smarjeska Cesta 6
Novo Mesto
Jugovzhodna Slovenija
8501, Slovenia";LOC-100009540;;MIGRATION_SUCCESSFUL;;;;10.07.2022
