Müügiloa number;Müügiloa staatus;H/V;Ravimi nimetus;Ravimi tugevus;Ravimvorm;ATC kood;Toimeaine;Müügiloa hoidja organisatsioon;Müügiloa hoidja organisatsiooni ORG ID;Müügiloa hoidja organisatsiooni asukoha LOC ID;Juhtumi number;Päritolumaa;Müügiloa kehtivuse alguse kuupäev;Müügiloa kehtivuse lõpu kuupäev;Ravimikaardi number;Ravimi liik;Täiendav järelevalve;Pakendi erandite alguskuupäev;Pakendi erandite lõppkuupäev;Toodetud ravimvorm;Manustatav ravimvorm;Ravimis sisalduv toimeaine;Ravimis sisalduva toimeaine tugevus;Referentstoimeaine;Referentstoimeaine tugevus;Manustamisviisid;Seade pakendis;Säilitustingimused;Pakendi suurus;Müügiloa taotluse number;Müügiloa taotluse protseduuri number;Esitamise kuupäev
835714;Valid;H;TRIPLIXAM;10mg, 2.5mg;Õhukese polümeerikattega tablett;C09BX01;indapamiid, amlodipiin, perindopriil;Les Laboratoires Servier;ORG-100000964;LOC-100000973;1;;27.01.2014;;4286;Chemical Medicinal Product;Ei;;;Õhukese polümeerikattega tablett;Õhukese polümeerikattega tablett;amlodipiin, indapamiid, perindopriil;;perindopriil, indapamiid, amlodipiin;10mg, 2.5mg;Suukaudne;;See ravimpreparaat ei vaja säilitamisel eritingimusi;30 Tablett, 60 Tablett, 90 Tablett, 100 Tablett, 500 Tablett, 10 Tablett, 28 Tablett, 84 Tablett;1;;
847914;Valid;H;ZENICAMO;16mg, 10mg;Tablett;C09DB07;kandesartaan, amlodipiin;Zentiva k.s.;ORG-100004108;LOC-100002580;3371;;27.06.2014;;11918;Chemical Medicinal Product;Ei;;;Tablett;Tablett;kandesartaan, amlodipiin;;kandesartaan, amlodipiin;16mg, 10mg;Suukaudne;;Hoida temperatuuril kuni 30°C, hoida valguse eest kaitstult, Hoida originaalpakendis;14 Tablett, 28 Tablett, 30 Tablett, 84 Tablett, 90 Tablett, 56 Tablett, 98 Tablett;3371;;12.09.2022
589208;Valid;H;AMLODIPINE TEVA;5mg;Tablett;C08CA01;amlodipiin;Teva Pharma B.V.;ORG-100000229;LOC-100005270;1;;20.06.2008;;2532;Chemical Medicinal Product;Ei;;;Tablett;Tablett;amlodipiin;;amlodipiin;5mg;Suukaudne;;hoida valguse eest kaitstult, Hoida temperatuuril kuni 25°C, Hoida originaalpakendis, hoida niiskuse eest kaitstult;15 Tablett, 20 Tablett, 28 Tablett, 30 Tablett, 50 Tablett, 56 Tablett, 84 Tablett, 90 Tablett, 98 Tablett, 100 Tablett, 300 Tablett, 120 Tablett, 112 Tablett, 200 Tablett, 250 Tablett;1;;
824413;Valid;H;FLUTENSIF;10mg, 1.5mg;Toimeainet modifitseeritult vabastav tablett;C08GA80;amlodipiin, indapamiid;Les Laboratoires Servier;ORG-100000964;LOC-100000973;1;;03.10.2013;;4290;Chemical Medicinal Product;Ei;;;Toimeainet modifitseeritult vabastav tablett;Toimeainet modifitseeritult vabastav tablett;amlodipiin, indapamiid;;amlodipiin, indapamiid;10mg, 1.5mg;Suukaudne;;Hoida temperatuuril kuni 30°C;100 Tablett, 500 Tablett, 15 Tablett, 30 Tablett, 60 Tablett, 90 Tablett;1;;
996619;Valid;H;ROXAMPEX;5mg, 4mg, 20mg;Õhukese polümeerikattega tablett;C10BX14;amlodipiin, rosuvastatiin, perindopriil;KRKA, d.d., Novo mesto;ORG-100000627;LOC-100009540;1;;04.11.2019;04.11.2024;6829;Chemical Medicinal Product;Ei;;;Õhukese polümeerikattega tablett;Õhukese polümeerikattega tablett;amlodipiin, rosuvastatiin, perindopriil;;amlodipiin, perindopriil, rosuvastatiin;5mg, 4mg, 20mg;Suukaudne;;hoida valguse eest kaitstult, See ravimpreparaat ei vaja säilitamisel temperatuuri eritingimusi, Hoida originaalpakendis;30 Tablett, 60 Tablett, 90 Tablett, 100 Tablett;1;;
1023821;Valid;H;OLMESARTAN MEDOXOMIL/AMLODIPINE/HYDROCHLOROTHIAZIDE ALEMBIC;10mg, 25mg, 40mg;Õhukese polümeerikattega tablett;C09DX03;olmesartaanmedoksomiil, hüdroklorotiasiid, amlodipiin;Alembic Pharmaceuticals Europe Ltd;ORG-100007006;LOC-100015977;1029;;03.03.2021;;7437;Chemical Medicinal Product;Ei;;;Õhukese polümeerikattega tablett;Õhukese polümeerikattega tablett;olmesartaanmedoksomiil, amlodipiin, hüdroklorotiasiid;;amlodipiin, hüdroklorotiasiid, olmesartaanmedoksomiil;10mg, 25mg, 40mg;Suukaudne;;See ravimpreparaat ei vaja säilitamisel eritingimusi;7 Tablett, 10 Tablett, 14 Tablett, 28 Tablett, 30 Tablett, 50 Tablett, 56 Tablett, 84 Tablett, 90 Tablett, 98 Tablett, 500 Tablett, 280 Tablett, 300 Tablett;1029;EE/H/0302/IB/005/G;06.07.2022
838414;Valid;H;PERINDOPRIL/AMLODIPINE TEVA;10mg;Tablett;C09BB04;perindopriil, amlodipiin;Teva Pharma B.V.;ORG-100000229;LOC-100005270;1;;28.02.2014;;4435;Chemical Medicinal Product;Ei;;;Tablett;Tablett;amlodipiin, perindopriil;;amlodipiin, perindopriil;10mg;Suukaudne;;hoida valguse eest kaitstult, Hoida originaalpakendis, hoida niiskuse eest kaitstult;30 Tablett, 50 Tablett, 60 Tablett, 90 Tablett, 100 Tablett, 120 Tablett;1;;
418403;Valid;H;AGEN 10MG;10mg;Tablett;C08CA01;amlodipiin;Zentiva k.s.;ORG-100004108;LOC-100002580;8;;08.08.2003;;1209;Chemical Medicinal Product;Ei;;;Tablett;Tablett;amlodipiin;;amlodipiin;10mg;Suukaudne;;hoida valguse eest kaitstult, Hoida temperatuuril kuni 25°C, Hoida originaalpakendis;90 Tablett, 10 Tablett, 30 Tablett;8;;27.06.2022
882315;Valid;H;MIXOR;80mg, 5mg;Tablett;C09DB04;telmisartaan, amlodipiin;Zentiva k.s.;ORG-100004108;LOC-100002580;1;;16.09.2015;;4899;Chemical Medicinal Product;Ei;;;Tablett;Tablett;telmisartaan, amlodipiin;;telmisartaan, amlodipiin;80mg, 5mg;Suukaudne;;Hoida temperatuuril kuni 25°C, hoida valguse eest kaitstult, Hoida originaalpakendis;14 Tablett, 28 Tablett, 30 Tablett, 56 Tablett, 90 Tablett, 98 Tablett;1;;
1040821;Valid;H;PRINDAL;8mg, 5mg, 2.5mg;Tablett;C09BX01;amlodipiin, perindopriil, indapamiid;Zentiva k.s.;ORG-100004108;LOC-100002580;1;;15.09.2021;15.09.2026;7497;Chemical Medicinal Product;Ei;;;Tablett;Tablett;amlodipiin, perindopriil, indapamiid;;perindopriil, amlodipiin, indapamiid;8mg, 5mg, 2.5mg;Suukaudne;;hoida valguse eest kaitstult, Hoida originaalpakendis, hoida niiskuse eest kaitstult;30 Tablett, 60 Tablett, 90 Tablett;1;;
996819;Valid;H;ROXAMPEX;8mg, 20mg, 10mg;Õhukese polümeerikattega tablett;C10BX14;rosuvastatiin, amlodipiin, perindopriil;KRKA, d.d., Novo mesto;ORG-100000627;LOC-100009540;1;;04.11.2019;04.11.2024;6831;Chemical Medicinal Product;Ei;;;Õhukese polümeerikattega tablett;Õhukese polümeerikattega tablett;amlodipiin, rosuvastatiin, perindopriil;;perindopriil, rosuvastatiin, amlodipiin;8mg, 20mg, 10mg;Suukaudne;;hoida valguse eest kaitstult, See ravimpreparaat ei vaja säilitamisel temperatuuri eritingimusi, Hoida originaalpakendis;30 Tablett, 60 Tablett, 90 Tablett, 100 Tablett;1;;
;Pending;H;RAMIPRIL/AMLODIPINE SANDOZ;10mg;Kõvakapsel;C09BB07;amlodipiin, ramipriil;Sandoz Pharmaceuticals d.d.;ORG-100002040;LOC-100002893;1300;;;;8694;Chemical Medicinal Product;Ei;;;Kõvakapsel;Kõvakapsel;ramipriil, amlodipiin;;amlodipiin, ramipriil;10mg;Suukaudne;;Hoida temperatuuril kuni 25°C;50 Kapsel, 60 Kapsel, 90 Kapsel, 100 Kapsel, 20 Kapsel, 28 Kapsel, 30 Kapsel;1300;AT/H/1233/004/DC;30.07.2021
982619;Valid;H;VALTRICOM;160mg, 10mg, 12.5mg;Õhukese polümeerikattega tablett;C09DX01;hüdroklorotiasiid, amlodipiin, valsartaan;KRKA, d.d., Novo mesto;ORG-100000627;LOC-100009540;1;;05.03.2019;05.03.2024;6567;Chemical Medicinal Product;Ei;;;Õhukese polümeerikattega tablett;Õhukese polümeerikattega tablett;valsartaan, hüdroklorotiasiid, amlodipiin;;valsartaan, amlodipiin, hüdroklorotiasiid;160mg, 10mg, 12.5mg;Suukaudne;;See ravimpreparaat ei vaja säilitamisel eritingimusi;90 Tablett, 98 Tablett, 100 Tablett, 7 Tablett, 10 Tablett, 14 Tablett, 28 Tablett, 30 Tablett, 56 Tablett, 60 Tablett, 84 Tablett;1;;
982819;Valid;H;VALTRICOM;320mg, 10mg, 25mg;Õhukese polümeerikattega tablett;C09DX01;amlodipiin, valsartaan, hüdroklorotiasiid;KRKA, d.d., Novo mesto;ORG-100000627;LOC-100009540;1;;05.03.2019;05.03.2024;6570;Chemical Medicinal Product;Ei;;;Õhukese polümeerikattega tablett;Õhukese polümeerikattega tablett;hüdroklorotiasiid, amlodipiin, valsartaan;;valsartaan, amlodipiin, hüdroklorotiasiid;320mg, 10mg, 25mg;Suukaudne;;See ravimpreparaat ei vaja säilitamisel eritingimusi;7 Tablett, 56 Tablett, 10 Tablett, 60 Tablett, 14 Tablett, 84 Tablett, 28 Tablett, 90 Tablett, 30 Tablett, 98 Tablett, 100 Tablett;1;;
942417;Valid;H;NORVASC;10mg;Tablett;C08CA01;amlodipiin;First Pharma OÜ;ORG-100009587;LOC-100055675;1;Rumeenia;06.06.2017;;6160;Chemical Medicinal Product;Ei;;;Tablett;Tablett;amlodipiin;;amlodipiin;10mg;Suukaudne;;Hoida temperatuuril kuni 25°C;4 Tablett, 10 Tablett, 14 Tablett, 20 Tablett, 28 Tablett, 50 Tablett, 60 Tablett, 90 Tablett, 98 Tablett, 100 Tablett, 300 Tablett, 500 Tablett, 30 Tablett;1;;
835314;Valid;H;TRIPLIXAM;5mg, 10mg, 2.5mg;Õhukese polümeerikattega tablett;C09BX01;indapamiid, amlodipiin, perindopriil;Les Laboratoires Servier;ORG-100000964;LOC-100000973;1;;27.01.2014;;4285;Chemical Medicinal Product;Ei;;;Õhukese polümeerikattega tablett;Õhukese polümeerikattega tablett;perindopriil, amlodipiin, indapamiid;;amlodipiin, perindopriil, indapamiid;5mg, 10mg, 2.5mg;Suukaudne;;See ravimpreparaat ei vaja säilitamisel eritingimusi;30 Tablett, 60 Tablett, 90 Tablett, 100 Tablett, 500 Tablett, 10 Tablett, 28 Tablett, 84 Tablett;1;;
885215;Valid;H;TRIVERAM 20MG/10MG/10MG;20mg, 10mg;Õhukese polümeerikattega tablett;C10BX11;amlodipiin, perindopriil, atorvastatiin;Les Laboratoires Servier;ORG-100000964;LOC-100000973;2553;;16.09.2015;;9839;Chemical Medicinal Product;Ei;;;Õhukese polümeerikattega tablett;Õhukese polümeerikattega tablett;atorvastatiin, perindopriil, amlodipiin;;atorvastatiin, amlodipiin, perindopriil;20mg, 10mg;Suukaudne;;See ravimpreparaat ei vaja säilitamisel eritingimusi, Hoida pakend tihedalt suletuna, See ravimpreparaat ei vaja säilitamisel temperatuuri eritingimusi, hoida niiskuse eest kaitstult;30 Tablett, 90 Tablett, 100 Tablett, 28 Tablett, 84 Tablett;2553;;22.07.2022
418303;Valid;H;AGEN 5MG;5mg;Tablett;C08CA01;amlodipiin;Zentiva k.s.;ORG-100004108;LOC-100002580;8;;08.08.2003;;1208;Chemical Medicinal Product;Ei;;;Tablett;Tablett;amlodipiin;;amlodipiin;5mg;Suukaudne;;Hoida temperatuuril kuni 25°C, hoida valguse eest kaitstult, Hoida originaalpakendis;90 Tablett, 10 Tablett, 30 Tablett;8;;27.06.2022
1040621;Valid;H;PRINDAL;4mg, 1.25mg, 5mg;Tablett;C09BX01;indapamiid, perindopriil, amlodipiin;Zentiva k.s.;ORG-100004108;LOC-100002580;1;;15.09.2021;15.09.2026;7495;Chemical Medicinal Product;Ei;;;Tablett;Tablett;indapamiid, perindopriil, amlodipiin;;perindopriil, indapamiid, amlodipiin;4mg, 1.25mg, 5mg;Suukaudne;;hoida valguse eest kaitstult, Hoida originaalpakendis, hoida niiskuse eest kaitstult;30 Tablett, 60 Tablett, 90 Tablett;1;;
;Pending;H;CO-DALNESSA NEO;5mg, 1.25mg;Tablett;C09BX01;indapamiid, perindopriil, amlodipiin;KRKA, d.d., Novo mesto;ORG-100000627;LOC-100009540;1735;;;;8961;Chemical Medicinal Product;Ei;;;Tablett;Tablett;indapamiid, perindopriil, amlodipiin;;amlodipiin, perindopriil, indapamiid;5mg, 1.25mg;Suukaudne;;hoida valguse eest kaitstult, See ravimpreparaat ei vaja säilitamisel temperatuuri eritingimusi, Hoida originaalpakendis, hoida niiskuse eest kaitstult;10 Tablett, 30 Tablett, 60 Tablett, 90 Tablett, 100 Tablett;1735;IE/H/1240/001/DC;31.05.2022
1040321;Valid;H;PERINDOPRIL/ AMLODIPINE ACTAVIS;10mg, 5mg;Tablett;C09BB04;perindopriil, amlodipiin;Actavis Group Ptc ehf.;ORG-100000064;LOC-100001873;1;;15.09.2021;15.09.2026;7460;Chemical Medicinal Product;Ei;;;Tablett;Tablett;amlodipiin, perindopriil;;amlodipiin, perindopriil;10mg, 5mg;Suukaudne;;hoida valguse eest kaitstult, See ravimpreparaat ei vaja säilitamisel temperatuuri eritingimusi, Hoida originaalpakendis;30 Tablett, 90 Tablett;1;;
850514;Valid;H;SOBYCOMBI;10mg;Tablett;C07FB07;bisoprolool, amlodipiin;KRKA, d.d., Novo mesto;ORG-100000627;LOC-100009540;1;;17.09.2014;;4593;Chemical Medicinal Product;Ei;;;Tablett;Tablett;amlodipiin, bisoprolool;;bisoprolool, amlodipiin;10mg;Suukaudne;;Hoida temperatuuril kuni 30°C, hoida valguse eest kaitstult, Hoida originaalpakendis, hoida niiskuse eest kaitstult;30 Tablett, 56 Tablett, 60 Tablett, 84 Tablett, 90 Tablett, 28 Tablett;1;;
959018;Valid;H;CAMDERO;16mg, 5mg;Tablett;C09DB07;amlodipiin, kandesartaan;KRKA, d.d., Novo mesto;ORG-100000627;LOC-100009540;1;;13.02.2018;13.02.2023;6052;Chemical Medicinal Product;Ei;;;Tablett;Tablett;kandesartaan, amlodipiin;;kandesartaan, amlodipiin;16mg, 5mg;Suukaudne;;Hoida temperatuuril kuni 30°C, hoida valguse eest kaitstult, Hoida originaalpakendis, hoida niiskuse eest kaitstult;7 Tablett, 10 Tablett, 14 Tablett, 28 Tablett, 30 Tablett, 90 Tablett, 50 Tablett, 98 Tablett, 56 Tablett, 60 Tablett, 100 Tablett;1;;
1040921;Valid;H;PRINDAL;10mg, 2.5mg, 8mg;Tablett;C09BX01;indapamiid, perindopriil, amlodipiin;Zentiva k.s.;ORG-100004108;LOC-100002580;1;;15.09.2021;15.09.2026;7498;Chemical Medicinal Product;Ei;;;Tablett;Tablett;perindopriil, amlodipiin, indapamiid;;amlodipiin, indapamiid, perindopriil;10mg, 2.5mg, 8mg;Suukaudne;;hoida valguse eest kaitstult, Hoida originaalpakendis, hoida niiskuse eest kaitstult;60 Tablett, 90 Tablett, 30 Tablett;1;;
981619;Valid;H;RAMDACORDIA HCT;5mg, 10mg, 25mg;Kõvakapsel;C09BX03;amlodipiin, hüdroklorotiasiid, ramipriil;Sandoz Pharmaceuticals d.d.;ORG-100002040;LOC-100002893;1391;;05.03.2019;05.03.2024;6320;Chemical Medicinal Product;Ei;;;Kõvakapsel;Kõvakapsel;amlodipiin, hüdroklorotiasiid, ramipriil;;amlodipiin, ramipriil, hüdroklorotiasiid;5mg, 10mg, 25mg;Suukaudne;;Hoida temperatuuril kuni 30°C;20 Kapsel, 30 Kapsel, 60 Kapsel, 100 Kapsel, 50 Kapsel, 90 Kapsel, 10 Kapsel;1391;PL/H/0490/002-006/IB/008;31.12.2021
EU/1/09/569;Valid;H;EXFORGE HCT;320mg, 25mg, 10mg;Õhukese polümeerikattega tablett;C09DX01;hüdroklorotiasiid, amlodipiin, valsartaan;Novartis Europharm Limited;ORG-100007373;LOC-100010531;1;;16.10.2009;;3258;Chemical Medicinal Product;Ei;;;Õhukese polümeerikattega tablett;Õhukese polümeerikattega tablett;hüdroklorotiasiid, amlodipiin, valsartaan;;valsartaan, hüdroklorotiasiid, amlodipiin;320mg, 25mg, 10mg;Suukaudne;;;90 Tablett, 98 Tablett, 280 Tablett, 14 Tablett, 28 Tablett, 30 Tablett, 56 Tablett;1;;
EU/1/10/648;Valid;H;TWYNSTA;80mg, 10mg;Tablett;C09DB04;amlodipiin, telmisartaan;Boehringer Ingelheim International GmbH;ORG-100012432;LOC-100018243;1;;07.10.2010;;3752;Chemical Medicinal Product;Ei;;;Tablett;Tablett;telmisartaan, amlodipiin;;telmisartaan, amlodipiin;80mg, 10mg;Suukaudne;;;56 Tablett, 90 Tablett, 98 Tablett, 360 Tablett, 14 Tablett, 28 Tablett, 30 Tablett;1;;
EU/1/10/648;Valid;H;TWYNSTA;10mg, 40mg;Tablett;C09DB04;telmisartaan, amlodipiin;Boehringer Ingelheim International GmbH;ORG-100012432;LOC-100018243;1;;07.10.2010;;3750;Chemical Medicinal Product;Ei;;;Tablett;Tablett;amlodipiin, telmisartaan;;amlodipiin, telmisartaan;10mg, 40mg;Suukaudne;;;14 Tablett, 28 Tablett, 30 Tablett, 56 Tablett, 90 Tablett, 98 Tablett, 360 Tablett;1;;
EU/1/16/1092;Valid;H;AMLODIPINE/VALSARTAN MYLAN;160mg, 5mg;Õhukese polümeerikattega tablett;C09DB01;amlodipiin, valsartaan;Mylan Pharmaceuticals Limited;ORG-100034257;LOC-100054211;1;;22.03.2016;;5799;Chemical Medicinal Product;Ei;;;Õhukese polümeerikattega tablett;Õhukese polümeerikattega tablett;valsartaan, amlodipiin;;valsartaan, amlodipiin;160mg, 5mg;Suukaudne;;;14 Tablett, 28 Tablett, 30 Tablett, 56 Tablett, 90 Tablett, 98 Tablett;1;;
1007820;Valid;H;OLSITRI;12.5mg, 40mg, 5mg;Õhukese polümeerikattega tablett;C09DX03;olmesartaanmedoksomiil, amlodipiin, hüdroklorotiasiid;KRKA, d.d., Novo mesto;ORG-100000627;LOC-100009540;1;;25.06.2020;25.06.2025;7129;Chemical Medicinal Product;Ei;;;Õhukese polümeerikattega tablett;Õhukese polümeerikattega tablett;amlodipiin, hüdroklorotiasiid, olmesartaanmedoksomiil;;hüdroklorotiasiid, olmesartaanmedoksomiil, amlodipiin;12.5mg, 40mg, 5mg;Suukaudne;;See ravimpreparaat ei vaja säilitamisel eritingimusi;84 Tablett, 90 Tablett, 98 Tablett, 14 Tablett, 28 Tablett, 30 Tablett, 56 Tablett, 60 Tablett;1;;
802212;Valid;H;DALNESSA;4mg, 5mg;Tablett;C09BB04;amlodipiin, perindopriil;KRKA, d.d., Novo mesto;ORG-100000627;LOC-100009540;10;;30.11.2012;;3744;Chemical Medicinal Product;Ei;;;Tablett;Tablett;amlodipiin, perindopriil;;perindopriil, amlodipiin;4mg, 5mg;Suukaudne;;Hoida temperatuuril kuni 30°C, hoida valguse eest kaitstult, Hoida originaalpakendis, hoida niiskuse eest kaitstult;90 Tablett, 100 Tablett, 28 Tablett, 30 Tablett, 50 Tablett, 60 Tablett;10;;27.06.2022
991219;Valid;H;OLMESARTAN MEDOXOMIL/AMLODIPINE KRKA;40mg, 5mg;Õhukese polümeerikattega tablett;C09DB02;amlodipiin, olmesartaanmedoksomiil;KRKA, d.d., Novo mesto;ORG-100000627;LOC-100009540;1;;02.07.2019;02.07.2024;7008;Chemical Medicinal Product;Ei;;;Õhukese polümeerikattega tablett;Õhukese polümeerikattega tablett;amlodipiin, olmesartaanmedoksomiil;;olmesartaanmedoksomiil, amlodipiin;40mg, 5mg;Suukaudne;;hoida valguse eest kaitstult, Hoida originaalpakendis, hoida niiskuse eest kaitstult;90 Tablett, 98 Tablett, 100 Tablett, 14 Tablett, 28 Tablett, 30 Tablett, 56 Tablett, 60 Tablett, 84 Tablett;1;;
929716;Valid;H;TELDIPIN;5mg, 80mg;Tablett;C09DB04;telmisartaan, amlodipiin;KRKA, d.d., Novo mesto;ORG-100000627;LOC-100009540;2125;;10.01.2017;;5687;Chemical Medicinal Product;Ei;;;Tablett;Tablett;telmisartaan, amlodipiin;;amlodipiin, telmisartaan;5mg, 80mg;Suukaudne;;Hoida temperatuuril kuni 30°C, hoida valguse eest kaitstult, Hoida originaalpakendis;14 Tablett, 28 Tablett, 30 Tablett, 56 Tablett, 60 Tablett, 84 Tablett, 90 Tablett, 98 Tablett;2125;CZ/H/0677/IA/014/G;28.06.2022
1024421;Valid;H;TELMISARTAN/AMLODIPINE ALEMBIC;80mg, 10mg;Tablett;C09DB04;telmisartaan, amlodipiin;Alembic Pharmaceuticals Europe Ltd;ORG-100007006;LOC-100015977;1;;03.03.2021;03.03.2026;7367;Chemical Medicinal Product;Ei;;;Tablett;Tablett;telmisartaan, amlodipiin;;telmisartaan, amlodipiin;80mg, 10mg;Suukaudne;;Hoida temperatuuril kuni 30°C, See ravimpreparaat ei vaja säilitamisel eritingimusi, Hoida originaalpakendis, hoida niiskuse eest kaitstult;7 Tablett, 10 Tablett, 14 Tablett, 28 Tablett, 30 Tablett, 56 Tablett, 90 Tablett, 98 Tablett, 360 Tablett;1;;
EU/1/06/370;Valid;H;EXFORGE;10mg, 160mg;Õhukese polümeerikattega tablett;C09DB01;amlodipiin, valsartaan;Novartis Europharm Limited;ORG-100007373;LOC-100010531;1;;17.01.2007;;2058;Chemical Medicinal Product;Ei;;;Õhukese polümeerikattega tablett;Õhukese polümeerikattega tablett;valsartaan, amlodipiin;;amlodipiin, valsartaan;10mg, 160mg;Suukaudne;;;7 Tablett, 14 Tablett, 28 Tablett, 30 Tablett, 56 Tablett, 90 Tablett, 98 Tablett, 280 Tablett;1;;
969318;Valid;H;DALNESSA;2.85mg, 2.5mg;Tablett;C09BB04;amlodipiin, perindopriil;KRKA, d.d., Novo mesto;ORG-100000627;LOC-100009540;1;;11.09.2018;11.09.2023;6366;Chemical Medicinal Product;Ei;;;Tablett;Tablett;perindopriil, amlodipiin;;perindopriil, amlodipiin;2.85mg, 2.5mg;Suukaudne;;Hoida temperatuuril kuni 30°C, hoida valguse eest kaitstult, Hoida originaalpakendis, hoida niiskuse eest kaitstult;10 Tablett, 30 Tablett, 60 Tablett, 90 Tablett, 100 Tablett;1;;
;Pending;H;PERINDOPRIL ARGININE/INDAPAMIDE/AMLODIPINE TEVA;10mg, 2.5mg;Õhukese polümeerikattega tablett;C09BX01;amlodipiin, indapamiid, perindopriil;Teva B.V.;ORG-100002999;LOC-100003164;2175;;;;8730;Chemical Medicinal Product;Ei;;;Õhukese polümeerikattega tablett;Õhukese polümeerikattega tablett;indapamiid, perindopriil, amlodipiin;;perindopriil, amlodipiin, indapamiid;10mg, 2.5mg;Suukaudne;;See ravimpreparaat ei vaja säilitamisel eritingimusi;10 Tablett, 30 Tablett, 90 Tablett, 100 Tablett;2175;CZ/H/1133/004/DC;31.08.2021
885315;Valid;H;TRIVERAM 20MG/10MG/5MG;5mg, 10mg, 20mg;Õhukese polümeerikattega tablett;C10BX11;perindopriil, amlodipiin, atorvastatiin;Les Laboratoires Servier;ORG-100000964;LOC-100000973;2553;;16.09.2015;;9837;Chemical Medicinal Product;Ei;;;Õhukese polümeerikattega tablett;Õhukese polümeerikattega tablett;atorvastatiin, perindopriil, amlodipiin;;amlodipiin, perindopriil, atorvastatiin;5mg, 10mg, 20mg;Suukaudne;;See ravimpreparaat ei vaja säilitamisel eritingimusi, Hoida pakend tihedalt suletuna, See ravimpreparaat ei vaja säilitamisel temperatuuri eritingimusi, hoida niiskuse eest kaitstult;90 Tablett, 100 Tablett, 28 Tablett, 84 Tablett, 30 Tablett;2553;;22.07.2022
EU/1/10/648;Valid;H;TWYNSTA;5mg, 80mg;Tablett;C09DB04;amlodipiin, telmisartaan;Boehringer Ingelheim International GmbH;ORG-100012432;LOC-100018243;1;;07.10.2010;;3751;Chemical Medicinal Product;Ei;;;Tablett;Tablett;amlodipiin, telmisartaan;;amlodipiin, telmisartaan;5mg, 80mg;Suukaudne;;;14 Tablett, 28 Tablett, 30 Tablett, 56 Tablett, 90 Tablett, 98 Tablett, 360 Tablett;1;;
EU/1/09/569;Valid;H;EXFORGE HCT;10mg, 160mg, 12.5mg;Õhukese polümeerikattega tablett;C09DX01;hüdroklorotiasiid, valsartaan, amlodipiin;Novartis Europharm Limited;ORG-100007373;LOC-100010531;1;;16.10.2009;;3255;Chemical Medicinal Product;Ei;;;Õhukese polümeerikattega tablett;Õhukese polümeerikattega tablett;valsartaan, hüdroklorotiasiid, amlodipiin;;amlodipiin, valsartaan, hüdroklorotiasiid;10mg, 160mg, 12.5mg;Suukaudne;;;14 Tablett, 98 Tablett, 28 Tablett, 30 Tablett, 56 Tablett, 90 Tablett, 280 Tablett;1;;
EU/1/16/1092;Valid;H;AMLODIPINE/VALSARTAN MYLAN;10mg, 160mg;Õhukese polümeerikattega tablett;C09DB01;amlodipiin, valsartaan;Mylan Pharmaceuticals Limited;ORG-100034257;LOC-100054211;1;;22.03.2016;;5800;Chemical Medicinal Product;Ei;;;Õhukese polümeerikattega tablett;Õhukese polümeerikattega tablett;amlodipiin, valsartaan;;amlodipiin, valsartaan;10mg, 160mg;Suukaudne;;;14 Tablett, 28 Tablett, 30 Tablett, 56 Tablett, 90 Tablett, 98 Tablett;1;;
439004;Valid;H;HIPRES;5mg;Tablett;C08CA01;amlodipiin;KRKA, d.d., Novo mesto;ORG-100000627;LOC-100009540;9;;26.03.2004;;1288;Chemical Medicinal Product;Ei;;;Tablett;Tablett;amlodipiin;;amlodipiin;5mg;Suukaudne;;Hoida temperatuuril kuni 30°C, hoida valguse eest kaitstult, Hoida originaalpakendis, hoida niiskuse eest kaitstult;30 Tablett, 60 Tablett, 90 Tablett;9;;27.06.2022
EU/1/09/569;Valid;H;EXFORGE HCT;12.5mg, 160mg, 5mg;Õhukese polümeerikattega tablett;C09DX01;valsartaan, amlodipiin, hüdroklorotiasiid;Novartis Europharm Limited;ORG-100007373;LOC-100010531;1;;16.10.2009;;3254;Chemical Medicinal Product;Ei;;;Õhukese polümeerikattega tablett;Õhukese polümeerikattega tablett;hüdroklorotiasiid, amlodipiin, valsartaan;;hüdroklorotiasiid, valsartaan, amlodipiin;12.5mg, 160mg, 5mg;Suukaudne;;;14 Tablett, 28 Tablett, 30 Tablett, 56 Tablett, 90 Tablett, 98 Tablett, 280 Tablett;1;;
EU/1/09/574;Valid;H;DAFIRO HCT;25mg, 10mg, 320mg;Õhukese polümeerikattega tablett;C09DX01;hüdroklorotiasiid, amlodipiin, valsartaan;Novartis Europharm Limited;ORG-100007373;LOC-100010531;1;;04.11.2009;;3307;Chemical Medicinal Product;Ei;;;Õhukese polümeerikattega tablett;Õhukese polümeerikattega tablett;hüdroklorotiasiid, valsartaan, amlodipiin;;hüdroklorotiasiid, amlodipiin, valsartaan;25mg, 10mg, 320mg;Suukaudne;;;14 Tablett, 28 Tablett, 30 Tablett, 56 Tablett, 90 Tablett, 98 Tablett, 280 Tablett;1;;
